post_id,title,category,score,num_comments,author,collected_at
47704804,How NASA built Artemis II’s fault-tolerant computer,technology,214,75,speckx,2026-04-10 05:42:08
47713113,"The Raft Consensus Algorithm Explained Through ""Mean Girls""",technology,34,3,vermilingua,2026-04-10 05:42:08
47709158,Charcuterie – Visual similarity Unicode explorer,technology,177,33,rickcarlino,2026-04-10 05:42:09
47706141,Research-Driven Agents: When an agent reads before it codes,technology,160,48,hopechong,2026-04-10 05:42:09
47674950,An AI robot in my home,technology,25,9,kukanani,2026-04-10 05:42:09
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",technology,15,0,russellharper,2026-04-10 05:42:09
47702541,A WebGPU implementation of Augmented Vertex Block Descent,technology,136,16,juretriglav,2026-04-10 05:42:09
47695666,Show HN: Druids – Build your own software factory,technology,43,7,etherio,2026-04-10 05:42:09
47710782,The Training Example Lie Bracket,technology,26,13,pb1729,2026-04-10 05:42:10
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,145,94,SirHound,2026-04-10 05:42:10
47712771,"Google's AI Overviews spew false answers per hour, bombshell study reveals",technology,18,2,1vuio0pswjnm7,2026-04-10 05:42:10
47707632,"Instant 1.0, a backend for AI-coded apps",technology,112,67,stopachka,2026-04-10 05:42:10
47687273,Git commands I run before reading any code,technology,2230,472,grepsedawk,2026-04-10 05:42:11
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,319,211,kisamoto,2026-04-10 05:42:11
47712755,"Detox may erase 10 years of social media brain damage, researchers say",technology,18,2,1vuio0pswjnm7,2026-04-10 05:42:11
47708817,Maine is about to become the first state to ban major new data centers,technology,268,383,rmason,2026-04-10 05:42:11
47708411,Bitmap fonts make computers feel like computers again,technology,95,73,speckx,2026-04-10 05:42:11
47701233,Claude mixes up who said what,technology,418,328,sixhobbits,2026-04-10 05:42:11
47713732,First man convicted under Take It Down Act kept making AI nudes after arrest,technology,5,0,tzs,2026-04-10 05:42:12
47660434,C# in Unity 2026: Writing more modern code,technology,71,95,hacker_13,2026-04-10 05:42:12
47711960,Vibe-Coded Ext4 for OpenBSD,technology,7,4,signa11,2026-04-10 05:42:12
47710919,How the Trivy supply chain attack harvested credentials from secrets managers,technology,16,15,Rial_Labs,2026-04-10 05:42:12
47704881,The Vercel plugin on Claude Code wants to read your prompts,technology,260,104,akshay2603,2026-04-10 05:42:13
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,397,48,WerWolv,2026-04-10 05:42:13
47711623,Mexico's President Sheinbaum Decrees Universal Healthcare for 120M,worldnews,34,10,testing22321,2026-04-10 05:42:18
47679121,Project Glasswing: Securing critical software for the AI era,worldnews,1512,825,Ryan5453,2026-04-10 05:42:22
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,388,366,chabons,2026-04-10 05:42:23
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,615,261,zixuanlimit,2026-04-10 05:42:25
47680124,IPv6 is the only way forward,worldnews,102,318,quaintdev,2026-04-10 05:42:27
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,114,26,rryan,2026-04-10 05:42:28
47712641,White House Warns Staff Not to Place Bets on Prediction Markets Amid Iran War,worldnews,9,3,bookofjoe,2026-04-10 05:42:28
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,123,19,ductionist,2026-04-10 05:42:29
47710608,FCC considers retroactive ban on foreign hardware,worldnews,6,3,topspin,2026-04-10 05:42:29
47709123,How Iran's Information War Machine Operates Online,worldnews,5,0,mikhael,2026-04-10 05:42:30
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,160,Bender,2026-04-10 05:42:31
47695647,The AI Great Leap Forward,worldnews,126,60,jodah,2026-04-10 05:42:31
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,318,90,player_piano,2026-04-10 05:42:34
47691313,"Databricks co-founder wins prestigious ACM award, says 'AGI is here already'",worldnews,7,4,salkahfi,2026-04-10 05:42:35
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,57,18,zdw,2026-04-10 05:42:35
47701971,AI and remote work is a disaster for junior software engineers,worldnews,17,7,gpi,2026-04-10 05:42:35
47710595,The Iran war depleted US weapons. Rebuilding will require China's cooperation,worldnews,10,0,n1b0m,2026-04-10 05:42:36
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,32,12,brene,2026-04-10 05:42:38
47683613,ICE acknowledges it is using powerful spyware,worldnews,68,8,dnemmers,2026-04-10 05:42:39
47704060,Not just spyware scandals: EU is funding the industry that spies on Europeans,worldnews,7,0,latexr,2026-04-10 05:42:40
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,38,23,beardyw,2026-04-10 05:42:41
47694303,The demise of software engineering jobs has been greatly exaggerated,worldnews,19,5,ryan_j_naughton,2026-04-10 05:42:42
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-10 05:42:45
47663743,"Show HN: Moon simulator game, ray-casting",sports,100,24,JKCalhoun,2026-04-10 05:42:50
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,sports,190,225,speckx,2026-04-10 05:42:53
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,111,35,pruz,2026-04-10 05:42:55
47710319,BYD teams up with KFC to offer 9 minute EV charging,sports,9,0,breve,2026-04-10 05:42:57
47709535,Lethal conflict after group fission in wild chimpanzees,sports,7,1,impish9208,2026-04-10 05:42:58
47672778,Breaking the console: a brief history of video game security,sports,96,26,sprado,2026-04-10 05:42:59
47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",sports,166,263,tantalor,2026-04-10 05:42:59
47654629,The Harvard Library Passport,sports,40,15,fi-le,2026-04-10 05:43:01
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,539,163,akyuu,2026-04-10 05:43:01
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,307,192,keepamovin,2026-04-10 05:43:02
47707269,What game engines know about data that databases forgot,sports,82,53,speckx,2026-04-10 05:43:08
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-10 05:43:14
47694234,Strait of Hormuz appears to remain closed amid conflicting US and Iran briefings,sports,21,4,gridder,2026-04-10 05:43:15
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-10 05:43:16
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,sports,8,10,naorz,2026-04-10 05:43:18
47708818,Native Instant Space Switching on macOS,science,405,194,PaulHoule,2026-04-10 05:43:20
47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,science,24,5,LabsLucas,2026-04-10 05:43:22
47650502,Computational Physics (2nd Edition) (2025),science,184,23,teleforce,2026-04-10 05:43:36
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-10 05:43:38
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-10 05:43:39
47704443,Study found that young adults have grown less hopeful and more angry about AI,science,109,164,elsewhen,2026-04-10 05:43:42
47709360,CDC study shows Covid shot benefits; Trump official blocks release,science,16,2,ColinWright,2026-04-10 05:43:47
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-10 05:43:49
47694520,Gmail / Google Workspace Incendent Underway,science,8,2,vapemaster,2026-04-10 05:43:49
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,136,120,randerson_112,2026-04-10 05:43:53
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,14,0,larry-the-agent,2026-04-10 05:43:53
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,43,23,behat,2026-04-10 05:43:53
47704259,"Show HN: Guruka.com – free guided mediations. No signup, private, works offline",entertainment,23,5,eummm,2026-04-10 05:43:54
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,119,56,DamnInteresting,2026-04-10 05:43:55
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,140,61,willmeyers,2026-04-10 05:43:56
47705802,Show HN: Mdpdf a 2k line C CLI to convert Markdown to tiny PDFs,entertainment,8,2,bastscho,2026-04-10 05:43:57
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,136,154,latchkey,2026-04-10 05:44:00
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,62,18,meribold,2026-04-10 05:44:00
47696562,Show HN: Is Hormuz open yet?,entertainment,454,201,anonfunction,2026-04-10 05:44:00
47674606,Show HN: Unicode Steganography,entertainment,55,13,PatrickVuscan,2026-04-10 05:44:01
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,61,12,rvitorper,2026-04-10 05:44:01
47657204,Show HN: We built a camera only robot vacuum for less than $300 (well almost),entertainment,106,55,indraneelpatil,2026-04-10 05:44:01
47692661,Show HN: TUI-use: Let AI agents control interactive terminal programs,entertainment,51,37,dreamsome,2026-04-10 05:44:01
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,779,235,sam-bee,2026-04-10 05:44:02
47689319,Show HN: Skrun – Deploy any agent skill as an API,entertainment,59,10,frizull,2026-04-10 05:44:02
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,55,25,vkatluri,2026-04-10 05:44:02
47704260,Show HN: Zoneless – Open-source Stripe Connect clone with $0.002 fees using USDC,entertainment,14,6,tinyprojects,2026-04-10 05:44:02
47705780,Show HN: BrokenClaw Part 5: GPT-5.4 Edition (Prompt Injection),entertainment,8,2,veganmosfet,2026-04-10 05:44:03
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,285,69,frasermarlow,2026-04-10 05:44:04
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,230,28,MediaSquirrel,2026-04-10 05:44:05
47696558,Finetuning Activates Verbatim Recall of Copyrighted Books in LLMs,entertainment,15,4,guitarlimeo,2026-04-10 05:44:05
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,162,31,intofarlands,2026-04-10 05:44:06
